uid,url,movie_name,movie_Image,genre,release_date,grade,main_cast,director,critics_rating,cast,crew,producer,crew_roles,critics_review,story,audience_rating,genre2,release_year,main_cast2,director2,cast2,crew2,story_brief
9ede9e2c-3496-11eb-a531-780cb88b6f04,https://www.filmibeat.com/telugu/movies/case-no-6662013.html,case no 666/2013,https://www.filmibeat.com/img/190x100x237/popcorn/movie_posters/case-no-6662013-12415.jpg,Horror,31-Jan-13,,"Nanda Kishore, Charan",venkat siddareddy,2,"Nanda Kishore, Charan, Guru Charan, Nikita, Shyamal","Venkat Siddareddy, Purnesh Konathala, Ashok Babu, Ethiraj",Purnesh Konathala,Director Director Producer Music Director Music Director,[],"Case No 666/2013 is a Telugu horror movie, directed by Venkat Siddareddy. The cast of Case No 666/2013 includes Nanda Kishore,Charan.",che,horror,2013,nandakishore  charan,venkatsiddareddy,nandakishore  charan  gurucharan  nikita  shyamal,venkatsiddareddy  purneshkonathala  ashokbabu  ethiraj,case telugu horror movi direct venkat siddareddi cast case includ nanda kishor charan
9f528e37-3496-11eb-8f91-780cb88b6f04,https://www.filmibeat.com/telugu/movies/vishwaroopam.html,vishwaroopam,https://www.filmibeat.com/img/190x100x237/popcorn/movie_posters/vishwaroopam-11626.jpg,Action,25-Jan-13,U/A,"Kamal Haasan, Pooja Kumar",kamal haasan,3,"Kamal Haasan, Pooja Kumar, Rahul Bose, Andrea Jeremiah, Samrat Chakrabarti, Lee Whittaker, Loy Mendonsa","Kamal Haasan, Prasad V Potluri, Shankar Mahadevan, Ehsaan Noorani",Prasad V Potluri,Director/Singer Producer Music Director/Singer Music Director Music Director,"[""The wait is over. Kamal Hassan's biggest-ever film Viswaroopam, which has been delayed for one or the other reason, has seen the light of day in foreign countries but not in Tamil Nadu and other Southern states as the High Court has stayed the rele..""]","Viswaroopam is a dubbed version of Tamil movie Viswaroopam. Its much awaited movie of Kamal Hassan's biggest-ever film, which has been delayed for one or the other reason, has seen the light of day in foreign countries but not in Tamil Nadu and other Southern states as the High Court has stayed the release after several Muslim groups raised objection. After a gap of three years, Kamal Hassan is back with Viswaroopam, which is written, directed and produced by himself. The film was supposed to be directed by Selvaraghavan but as the director walked out of the film due to other commitments, Kamal took the responsibility of directing the film. The film is simultaneously made in Tamil, Telugu and Hindi. It is made with the budget of Rs 95 crore, which is the second highest budget Tamil film after Rajinikanth's blockbuster Endhiran. What does the multilingual action-thriller has to offer? A reader named Praveen Kumar from New Jersey reviewed the film, as the movie was not released here. Read on for the review.The movie starts in America. Viswanath (Kamal Hassan), who will be seen as Kathak trainer, is surrounded by girls and one among them is Andrea Jeremiah. This makes Dr Nirupama (Pooja Kumar) to doubt on her hubby's character and hires a detective, who gets killed by Al-Qaeda group. The Al-Qaeda is planning to plant a Nuclear Bomb in New York and Kamal Hassan is well-aware of it. How? He has a past where he has a connection with the terrorist group, which is headed by Omar (Rahul Bose). Will the terrorist organisation succeed in their mission? What role does Kamal play? Is he a terrorist or an undercover agent? To know all these, you should watch the film. The story of the film begins on a slow note but it is gripping. The first half is entirely shot in the US, and keeps you engaged and generate a lot of curiosity. When it comes to second half, the narration is dragging at parts but gets interesting with Kamal Hassan's past getting revealed.Viswaroopam has a wonderful story. It is well-backed by technical aspects like action and cinematography. It has to be noted that only one song will be part of the film even though the album of the film has a couple of tracks. Kamal ends on the note that Viswaroopam will continue until Omar or he is killed.",3.75,action,2013,kamalhaasan  poojakumar,kamalhaasan,kamalhaasan  poojakumar  rahulbose  andreajeremiah  samratchakrabarti  leewhittaker  loymendonsa,kamalhaasan  prasadvpotluri  shankarmahadevan  ehsaannoorani,viswaroopam dub version tamil movi viswaroopam much await movi kamal hassan film delay one reason seen light day foreign countri tamil nadu southern state high court stay releas sever muslim group rais object gap three year kamal hassan back viswaroopam written direct produc film suppos direct selvaraghavan director walk film due commit kamal took respons direct film film simultan made tamil telugu hindi made budget crore second highest budget tamil film rajinikanth blockbust endhiran multilingu offer reader name praveen kumar new jersey review film movi releas read review movi start america viswanath kamal hassan seen kathak trainer surround girl one among andrea jeremiah make nirupama pooja kumar doubt hubbi charact hire detect get kill group plan plant nuclear bomb new york kamal hassan past connect terrorist group head omar rahul bose terrorist organis succeed mission role kamal play terrorist undercov agent know watch film stori film begin slow note grip first half entir shot keep engag gener lot curios come second half narrat drag part get interest kamal hassan past get reveal viswaroopam wonder stori technic aspect like action cinematographi note one song part film even though album film coupl track kamal end note viswaroopam continu omar kill
9fd65b9c-3496-11eb-94cb-780cb88b6f04,https://www.filmibeat.com/telugu/movies/dandupalyam.html,dandupalyam,https://www.filmibeat.com/img/190x100x237/popcorn/movie_posters/dandupalyam-11891.jpg,Crime,25-Jan-13,A,"Pooja Gandhi, Ravishankar P",srinivasaraj,2.5,"Pooja Gandhi, Ravishankar P, Priyanka Kothari, Ravi Kale, Raghu Mukherjee, Makarand Deshpande, Rahul Nambiar","Srinivasaraj, Venkat, Arjun Janya, Bhuvana Chandra",Venkat,Director Producer Music Director Lyricst Singer,"[""Pooja Gandhi's Kannada movie Dandupalya, which is about an infamous crime gang that spread terror in and around Bangalore in late 90s, was released a few months ago and has proved to be a big commercial success at the Karnataka Box Office. Now, Dir..""]","Dandupalyam is a dubbed version of Kannada movie Dandupalya. The story of the movie involes the infamous crime gang that spread terror in and around Bangalore by slitting the throats of women and the aged before raping and robbing them in late 90s. Director Srinivasa Raju has tried to bring their barbarous acts on-screen. A group of men, mainly from Dandupalya, enters the city and makes the city to live under fear. Their approach is simple: A woman (played by Pooja Gandhi) from the gang finds a right house for the robbery where lone or elderly reside and visits the house asking for water. When the resident goes in to bring the same, the gang members enter the house. They attack, gang rape and murder them and rob money and valuables. The shocking part of the story is that they could kill anyone for a few thousands or a small piece of gold ornament and they can eat anything including flesh of donkeys. They were also exploited by Doddanna, a lawyer, who uses them for numerous of crimes by paying peanuts. The hunt for their heads begins after the ratio of the murders and robberies shockingly increases and Ravi Shankar (Arundhati Dubbing artist) is being assigned the job of finding them.",3.75,crime,2013,poojagandhi  ravishankarp,srinivasaraj,poojagandhi  ravishankarp  priyankakothari  ravikale  raghumukherjee  makaranddeshpande  rahulnambiar,srinivasaraj  venkat  arjunjanya  bhuvanachandra,dandupalyam dub version kannada movi dandupalya stori movi invol infam crime gang spread terror around bangalor slit throat women age rape rob late director srinivasa raju tri bring barbar act group men mainli dandupalya enter citi make citi live fear approach simpl woman play pooja gandhi gang find right hous robberi lone elderli resid visit hous ask water resid goe bring gang member enter hous attack gang rape murder rob money valuabl shock part stori could kill anyon thousand small piec gold ornament eat anyth includ flesh donkey also exploit doddanna lawyer use numer crime pay peanut hunt head begin ratio murder robberi shockingli increas ravi shankar arundhati dub artist assign job find
a06969d6-3496-11eb-a150-780cb88b6f04,https://www.filmibeat.com/telugu/movies/vetadu-ventadu.html,vetadu ventadu,https://www.filmibeat.com/img/190x100x237/popcorn/movie_posters/vetadu-ventadu-12321.jpg,"Romance, Thriller",25-Jan-13,U/A,"Vishal Krishna, Trisha Krishnan",thiru,3,"Vishal Krishna, Trisha Krishnan, Sunaina, J D Chakravarthy, Milind Soman, Manoj Bajpayee, Sampath Raj, John Vijay, Sriman, Ananth Sriram","Thiru, Srinivas Damera, Yuvan Shankar Raja, Ramajogaya Sastry",Srinivas Damera,Director Producer Music Director Lyricst Lyricst,"['Vetadu Ventadu, which is the dubbed version of Vishal-Trisha starrer Tamil movie Samar, has hit the marquee today. With intelligently structured plot, director Thiru brings in a brand new experience for Telugu viewers. Vishal and Trisha will rock y..']","Vetadu Ventadu is an action-thriller, which has a lot of twists and turns in the story. Vishal, a trek guide and the son of Forest Ranger Azhagam Perumal, and Sunaina have parted ways. After a few months, he gets a courier from his ex-girlfriend in which she had written an apology letter and asked him to come to Bangkok. The letter brings him a lot of joy and he immediately gears up for his first-ever foreign trip. In the flight, he meets Trisha Krishnan and they turn good friends. The real story begins when he lands in Thailand, as there is a threat to his life. He has been trapped and he struggles to come out from it with the help of Trisha Krishnan. Then, we are introduced to ruthless baddies played by JD Chakravarthy and Manoj Bajpai. The first half raises a lot of questions and the the second half answers all of them. Who is behind the game? What happened to his love? What role Trisha is playing in this trap? You should watch the film to get answers to all these questions.",2.25,romance thriller,2013,vishalkrishna  trishakrishnan,thiru,vishalkrishna  trishakrishnan  sunaina  jdchakravarthy  milindsoman  manojbajpayee  sampathraj  johnvijay  sriman  ananthsriram,thiru  srinivasdamera  yuvanshankarraja  ramajogayasastry,vetadu ventadu lot twist turn stori vishal trek guid son forest ranger azhagam perum sunaina part way month get courier written apolog letter ask come bangkok letter bring lot joy immedi gear foreign trip flight meet trisha krishnan turn good friend real stori begin land thailand threat life trap struggl come help trisha krishnan introduc ruthless baddi play chakravarthi manoj bajpai first half rais lot question second half answer behind game happen love role trisha play trap watch film get answer question
a124be39-3496-11eb-a8b5-780cb88b6f04,https://www.filmibeat.com/telugu/movies/satruvu.html,satruvu,https://www.filmibeat.com/img/190x100x237/popcorn/movie_posters/satruvu-11856.jpg,"Action, Romance",24-Jan-13,A,"Srikanth, Aksha",nsr prasad,2,"Srikanth, Aksha, Rahman, Giri Babu, Raghu Babu, Chalapathi Rao, Malathi","NSR Prasad, Rami Reddy A, Gana, Chandra Bose",Rami Reddy A,Director Producer Music Director Lyricst Singer,"['Actor Meka Srikanth, who is known as family entertainer, has tried to impress viewers as action hero, but in vein. His last releases like Devaraya and Sevakudu have bombed at the Box Office. Just a month after their release, he is back with Shatruv..']","Satruvu is a romantic action oriented movie in which, Srikanth playing a mass character and Aksha playing the female lead.Satruvu movie is directed by N S R Prasad and produced by V S Ramireddy under VSR Production banner. Bolla Brahma Naidu is the presenter. Gana scored music for this movie.",che,action romance,2013,srikanth  aksha,nsrprasad,srikanth  aksha  rahman  giribabu  raghubabu  chalapathirao  malathi,nsrprasad  ramireddya  gana  chandrabose,satruvu romant action orient movi srikanth play mass charact aksha play femal lead satruvu movi direct prasad produc ramireddi vsr product banner bolla brahma naidu present gana score music movi
a17d3986-3496-11eb-82f7-780cb88b6f04,https://www.filmibeat.com/telugu/movies/krishna-loves-geetha.html,krishna loves geetha,https://www.filmibeat.com/img/190x100x237/popcorn/movie_posters/krishna-loves-geetha-11825.jpg,Romance,18-Jan-13,U/A,"Ajay Rao, Radhika Pandit",shashank(kannada director),2,"Ajay Rao, Radhika Pandit, Umashri, Sharan, Padmaja Rao, Ashwath Ninasam, Geetha Madhuri","Shashank(Kannada Director), RK Akna Goud, V Sridhar, Hemachandra",RK Akna Goud,Director Producer Music Director/Singer Singer Singer,[],"Krishna Loves Geetha is a Telugu romance movie, directed by Shashank(Kannada Director). The cast of Krishna Loves Geetha includes Ajay Rao,Radhika Pandit.",che,romance,2013,ajayrao  radhikapandit,shashank ( kannadadirector ),ajayrao  radhikapandit  umashri  sharan  padmajarao  ashwathninasam  geethamadhuri,shashank ( kannadadirector )  rkaknagoud  vsridhar  hemachandra,krishna love geetha telugu romanc movi direct shashank kannada director cast krishna love geetha includ ajay rao radhika pandit
a2099136-3496-11eb-93b4-780cb88b6f04,https://www.filmibeat.com/telugu/movies/seethamma-vakitlo-sirimalle-chettu.html,seethamma vakitlo sirimalle chettu,https://www.filmibeat.com/img/190x100x237/popcorn/movie_posters/seethamma-vakitlo-sirimalle-chettu-10960.jpg,Family,11-Jan-13,U,"Venkatesh, Mahesh Babu",srikanth addala,3,"Venkatesh, Mahesh Babu, Anjali, Samantha Akkineni, Prakash Raj, Jayasudha, Rohini Hattangadi, Rao Ramesh, Ahuti Prasad, Brahmanandam, Ananth Sriram","Srikanth Addala, Dil Raju, Mickey J Meyar, Sirivennela",Dil Raju,Director Producer Music Director Lyricst Lyricst,"['In the last 25 years, no Telugu filmmaker or big actor has come forward to do a multi-starrer movie. Director VV Vinayak and producer Dil Raju have done it and dared to bring two superstars like Mahesh Babu and Venkatesh together on screen with See..']","In the last 25 years, no Telugu filmmaker or big actor has come forward to do a multi-starrer movie. Director Srikanth Addala and producer Dil Raju have done it and dared to bring two superstars (Mahesh Babu and Venkatesh) together on screen with Seethamma Vakitlo Sirimalle Chettu (SVSC), which has hit the marquee today. The much-hyped movie, which had created huge expectations among the film goers, is really a wonderful flick that suits the image of the superstars and it is a big treat for their fans this Sankranthi. Seethamma Vakitlo Sirimalle Chettu is a complete family drama with a few commercial elements. The performances of Mahesh Babu and Venkatesh are the main attractions in the film. Srikanth Addala's brilliant narration and dialogues, Mickey J Meyer's melodious music, KV Guhan's beautiful picturisation are its other highlights. What the film lacks is the absence of lead actors' heroism and slow-paced narration in the second half. The movie narrates a simple and beautiful story, which revolves around a middle class family. The movie is all about brother sentiment. With his brilliant storytelling, Srikanth Addala has brought out the emotions between various characters in the family in a realistic way. The first half of the film is very interesting with few heart touching moments and songs. The second half is also good, but it falls short to catch up fast with the pace of the narration. Relangi Mavayya (Prakash Raj) is a gentleman from a small village Relangi and he believes in human values and relationships. He has two sons Peddodu aka Mallikharjuna Rao (Venkatesh) and Chinnodu aka Seetha Rama Raju (Mahesh Babu). Peddodu is an emotional guy and his maradalu Seetha (Anjali) is in love with him since her childhood. Whereas Mahesh Babu is a witty and charming young man and he falls in love with Geetha (Samantha), the daughter of Rao Ramesh. But Rao Ramesh ridicules Prakash Raj for his low wealth and this strains the relationships between both brothers. What happens next will form the crux of the story of Seetamma Vakitlo Sirimalle Chettu.",4.75,family,2013,venkatesh  maheshbabu,srikanthaddala,venkatesh  maheshbabu  anjali  samanthaakkineni  prakashraj  jayasudha  rohinihattangadi  raoramesh  ahutiprasad  brahmanandam  ananthsriram,srikanthaddala  dilraju  mickeyjmeyar  sirivennela,last year telugu filmmak big actor come forward movi director srikanth addala produc dil raju done dare bring two superstar mahesh babu venkatesh togeth screen seethamma vakitlo sirimal chettu svsc hit marque today movi creat huge expect among film goer realli wonder flick suit imag superstar big treat fan sankranthi seethamma vakitlo sirimal chettu complet famili drama commerci element perform mahesh babu venkatesh main attract film srikanth addala brilliant narrat dialogu mickey meyer melodi music guhan beauti picturis highlight film lack absenc lead actor heroism narrat second half movi narrat simpl beauti stori revolv around middl class famili movi brother sentiment brilliant storytel srikanth addala brought emot variou charact famili realist way first half film interest heart touch moment song second half also good fall short catch fast pace narrat relangi mavayya prakash raj gentleman small villag relangi believ human valu relationship two son peddodu aka mallikharjuna rao venkatesh chinnodu aka seetha rama raju mahesh babu peddodu emot guy maradalu seetha anjali love sinc childhood wherea mahesh babu witti charm young man fall love geetha samantha daughter rao ramesh rao ramesh ridicul prakash raj low wealth strain relationship brother happen next form crux stori seetamma vakitlo sirimal chettu
a28fcf85-3496-11eb-ad89-780cb88b6f04,https://www.filmibeat.com/telugu/movies/naayak.html,naayak,https://www.filmibeat.com/img/190x100x237/popcorn/movie_posters/naayak-11932.jpg,"Action, Romance",9-Jan-13,A,"Ram Charan Teja, Kajal Aggarwal",v.v.vinayak,3,"Ram Charan Teja, Kajal Aggarwal, Amala Paul, Brahmanandam, Jayaprakash Reddy, M.S.Narayana, Ashish Vidhyarthi, Rahul Dev, Raghu Babu, Pradeep Rawat, Sahithi","V.V.Vinayak, D.V.V.Danaiah, Thaman S, Chandra Bose",D.V.V.Danaiah,Director Producer Music Director/Singer Lyricst Lyricst,"[""Chiranjeevi's son Ram Charan Teja, who has become a superstar in Telugu after Magadheera, has joined hands with popular director VV Vinayak for his latest outing Naayak, which has hit the screens today. The movie does not have an awesome script, bu..""]","Naayak is an action romantic movie. In which, Cherry (Ram Charan Teja) is a software engineer in CgTrix. In bid to save his uncle Jilebi (Brahmanandam), he falls in love with Madhu (Kajal), the sister of local Don Gandipeta Babji's (Rahul Dev). Meanwhile, a series of high profile killings takes place in Hyderabad and Kolkata. When Minister Rawat (Pradeep Rawat) is targeted, a CBI team starts hunting for Cherry, who is suspected to be involved in those cases. This investigation leads to an interesting twist. What happens next will form the crux of the story.Kajal Aggarwal and Amala Paul playing the female lead roles. VV Vinayak is directing this movie under D.V.V Danayya production banner Universal Media. Thaman S scoring music for this movie.",4,action romance,2013,ramcharanteja  kajalaggarwal,v . v . vinayak,ramcharanteja  kajalaggarwal  amalapaul  brahmanandam  jayaprakashreddy  m . s . narayana  ashishvidhyarthi  rahuldev  raghubabu  pradeeprawat  sahithi,v . v . vinayak  d . v . v . danaiah  thamans  chandrabose,naayak action romant movi cherri ram charan teja softwar engin cgtrix bid save uncl jilebi brahmanandam fall love madhu kajal sister local gandipeta babji rahul dev meanwhil seri high profil kill take place hyderabad kolkata minist rawat pradeep rawat target cbi team start hunt cherri suspect involv case investig lead interest twist happen next form crux stori kajal aggarw amala paul play femal lead role vinayak direct movi danayya product banner univers media thaman score music movi
a2f9fc7f-3496-11eb-9b99-780cb88b6f04,https://www.filmibeat.com/telugu/movies/iddaru-monagallu.html,iddaru monagallu,https://www.filmibeat.com/img/190x100x237/popcorn/movie_posters/iddaru-monagallu-7354.jpg,Thriller,4-Jan-13,A,"Kalabhavan Mani, Namitha",pramod pappan,2,"Kalabhavan Mani, Namitha, Bala, Ashish Vidhyarthi","Pramod Pappan, Ouseppachan",Ouseppachan,Director Music Director,[],"Iddaru Monagallu is a Telugu thriller movie, directed by Pramod Pappan. The cast of Iddaru Monagallu includes Kalabhavan Mani,Namitha.",3,thriller,2013,kalabhavanmani  namitha,pramodpappan,kalabhavanmani  namitha  bala  ashishvidhyarthi,pramodpappan  ouseppachan,iddaru monagallu telugu thriller movi direct pramod pappan cast iddaru monagallu includ kalabhavan mani namitha
a372328a-3496-11eb-8030-780cb88b6f04,https://www.filmibeat.com/telugu/movies/sevakudu.html,sevakudu,https://www.filmibeat.com/img/190x100x237/popcorn/movie_posters/sevakudu-8640.jpg,"Action, Romance",4-Jan-13,A,"Srikanth, Charmi Kaur",v.samudra,2.5,"Srikanth, Charmi Kaur, Ali, Pradeep Rawat, Ahuti Prasad, Jayaprakash Reddy, Brahmanandam, Krishna, Sravya","V.Samudra, N Sudhakar, Srikanth Deva, Ranjith",N Sudhakar,Director Producer Music Director Singer Singer,"[""Director V Samudra is making his comeback with the movie Sevakudu, which has hit the screens today. His latest Telugu flick, which has strong message to the society, boasts of Srikanth's rocking performance and interesting story and screenplay. The..""]","Sevakudu is a romantic action movie and Srikanth's electrifying performance is the main attraction in the film. Swamy's interesting script, punch dialogues, Srikanth Deva's music and beautiful picturisation are other highlights. Superstar Krishna's presence is another big attraction in the movie. Sevakudu is all about a young man, who tries to achieve his father's goal of changing the police system. Inspired by NTR's Bobbili Puli and Chiranjeevi's Tagore, the movie throws light on the corruption in prevailing society. The director has managed to include some of the real life incidents in the film. He has also tried to highlight the India's burning issue - illegal money in the Swiss Banks. A head constable is disappointed over the corrupt police department. He wants to change the system, but he fails to do so. In a bid to change, he raises his son Suryam (Srikanth) in the police atmosphere instead of family atmosphere. Even Suryam realises that the society will not change unless there is a change in police system. How he brings about change in the society will form the crux of the story.",4.5,action romance,2013,srikanth  charmikaur,v . samudra,srikanth  charmikaur  ali  pradeeprawat  ahutiprasad  jayaprakashreddy  brahmanandam  krishna  sravya,v . samudra  nsudhakar  srikanthdeva  ranjith,sevakudu romant action movi srikanth electrifi perform main attract film swami interest script punch dialogu srikanth deva music beauti picturis highlight superstar krishna presenc anoth big attract movi sevakudu young man tri achiev father goal chang polic system inspir ntr bobbili puli chiranjeevi tagor movi throw light corrupt prevail societi director manag includ real life incid film also tri highlight india burn issu illeg money swiss bank head constabl disappoint corrupt polic depart want chang system fail bid chang rais son suryam srikanth polic atmospher instead famili atmospher even suryam realis societi chang unless chang polic system bring chang societi form crux stori
